comparison	condition1	condition2	motifs_tested	condition1_enriched_q05	condition2_enriched_q05	significant_total_q05
A549_vs_HCT116	A549	HCT116	1019	711	91	802
A549_vs_HepG2	A549	HepG2	1019	557	198	755
A549_vs_K562	A549	K562	1019	769	120	889
A549_vs_MCF-7	A549	MCF-7	1019	448	124	572
A549_vs_PC-3	A549	PC-3	1019	421	486	907
A549_vs_Panc1	A549	Panc1	1019	599	122	721
HCT116_vs_HepG2	HCT116	HepG2	1019	181	387	568
HCT116_vs_K562	HCT116	K562	1019	396	245	641
HCT116_vs_MCF-7	HCT116	MCF-7	1019	56	396	452
HCT116_vs_PC-3	HCT116	PC-3	1019	320	589	909
HCT116_vs_Panc1	HCT116	Panc1	1019	91	452	543
HepG2_vs_K562	HepG2	K562	1019	384	98	482
HepG2_vs_MCF-7	HepG2	MCF-7	1019	111	251	362
HepG2_vs_PC-3	HepG2	PC-3	1019	358	538	896
HepG2_vs_Panc1	HepG2	Panc1	1019	164	190	354
K562_vs_MCF-7	K562	MCF-7	1019	44	615	659
K562_vs_PC-3	K562	PC-3	1019	307	601	908
K562_vs_Panc1	K562	Panc1	1019	93	563	656
MCF-7_vs_PC-3	MCF-7	PC-3	1019	347	519	866
MCF-7_vs_Panc1	MCF-7	Panc1	1019	77	18	95
PC-3_vs_Panc1	PC-3	Panc1	1019	558	339	897
