condition	sample	biological_replicate	selected_biosample	biosample	library	experiment	bam_accession	bam_size	bam_md5	peak_accession	peak_size	peak_md5	note
A549	A549_rep1	1	ENCBS049MEE	ENCBS049MEE	ENCLB817BKI	ENCSR032RGS	ENCFF607DTB	8889582250	3110bfd4d0405357e67defc9042f5ad3	ENCFF876UEM	4795872	76fb0607a9bf1d10c803ff7fc9f2a2fe	conservative IDR peak universe
A549	A549_rep2	2	ENCBS024PJA	ENCBS024PJA	ENCLB404SKN	ENCSR032RGS	ENCFF701BDT	10709750917	dd9c827c435128fee4003e2b313dac01	ENCFF876UEM	4795872	76fb0607a9bf1d10c803ff7fc9f2a2fe	conservative IDR peak universe
A549	A549_rep3	3	ENCBS003HWJ	ENCBS003HWJ	ENCLB605LCC	ENCSR032RGS	ENCFF616DYV	13391659522	e061a0e22b090213223c89694b8b732e	ENCFF876UEM	4795872	76fb0607a9bf1d10c803ff7fc9f2a2fe	conservative IDR peak universe
HCT116	HCT116_rep1	1	ENCBS831RKD	ENCBS162XQL	ENCLB310CQI	ENCSR872WGW	ENCFF724QHH	3273232766	f3cb69760e5e6d1b89d264a854c91963	ENCFF070LSQ	3704659	96286d2469155b4c26e0e51bcf42b7a8	source BAM deleted after verified correction
HCT116	HCT116_rep2	2	ENCBS851BDM	ENCBS666SZS	ENCLB404KGX	ENCSR872WGW	ENCFF927YUB	3471809963	60ddce150917b529d4bbe882e448ee0b	ENCFF070LSQ	3704659	96286d2469155b4c26e0e51bcf42b7a8	source BAM deleted after verified correction
HepG2	HepG2_rep1	1	ENCBS193JTP	ENCBS495DEU	ENCLB324GIU	ENCSR042AWH	ENCFF239RGZ	2810570658	48cf1e5ab5ee0ddc36c8a979cf8e8653	ENCFF314RIW	2898986	ad017d8cfae05180e4c45d54f48c2cb4	source BAM deleted after verified correction
HepG2	HepG2_rep2	2	ENCBS041EUO	ENCBS502XQO	ENCLB074EQT	ENCSR042AWH	ENCFF394BBD	2828129256	cd030e91b3d446368747ae632702e2df	ENCFF314RIW	2898986	ad017d8cfae05180e4c45d54f48c2cb4	source BAM deleted after verified correction
K562	K562_rep1	1	ENCBS327ZDR	ENCBS321NQQ	ENCLB918NXF	ENCSR483RKN	ENCFF512VEZ	3132141788	293aa794cbfc79c48fb86188ee65db41	ENCFF695IGF	2719201	a65d80685a70bf0263007315e3c21cf4	source BAM deleted after verified correction
K562	K562_rep2	2	ENCBS708GCD	ENCBS644OPH	ENCLB758GEG	ENCSR483RKN	ENCFF987XOV	2950424249	63c6ec102c4a887fb48d7a1fb5895b0d	ENCFF695IGF	2719201	a65d80685a70bf0263007315e3c21cf4	source BAM deleted after verified correction
MCF-7	MCF7_rep1	1	ENCBS820EFY	ENCBS105SMU	ENCLB657JDY	ENCSR422SUG	ENCFF607OSL	3402150653	aa4c00c8315ce6bc836cf242f89f28c2	ENCFF905GGG	3725182	bdda8b10eacdc11e1366482a13e16ec1	source BAM deleted after verified correction
MCF-7	MCF7_rep2	2	ENCBS986JFA	ENCBS352FBE	ENCLB303WWU	ENCSR422SUG	ENCFF772EFK	3169435965	d4e8822efa5cd99046b89880de746a13	ENCFF905GGG	3725182	bdda8b10eacdc11e1366482a13e16ec1	source BAM deleted after verified correction
PC-3	PC3_rep1	1	ENCBS533AYC	ENCBS132BFL	ENCLB029QHA	ENCSR499ASS	ENCFF024FNF	3015887781	4bd2da7affc2ee131d27d5d6ac9c77e6	ENCFF466CVI	4122774	8218893a6ca54ea4b81afc272d98c731	source BAM deleted after verified correction
PC-3	PC3_rep2	2	ENCBS388XJL	ENCBS235HQZ	ENCLB402HCF	ENCSR499ASS	ENCFF516GDK	3349522989	5a701d8bb414dba3152c9cc22b03ac37	ENCFF466CVI	4122774	8218893a6ca54ea4b81afc272d98c731	source BAM deleted after verified correction
Panc1	Panc1_rep1	1	ENCBS378LMT	ENCBS630ELJ	ENCLB787GWK	ENCSR591PIX	ENCFF822BKT	3332910047	b5a0de17c8700f085ec4e7b954a532d2	ENCFF544MQW	3052996	dd720f2e60b10737b749d54fd02425e2	source BAM deleted after verified correction
Panc1	Panc1_rep2	2	ENCBS254ODH	ENCBS298BRW	ENCLB319FWG	ENCSR591PIX	ENCFF836WDC	2995568147	4da303499b33a5ff5d5a782ab68e6f6b	ENCFF544MQW	3052996	dd720f2e60b10737b749d54fd02425e2	source BAM deleted after verified correction
