tf	lineage	expected_mean_protection	other_mean_protection	expected_contrast	B_cell_center_protection	CD4_T_center_protection	NK_T_cytotoxic_center_protection	CD14_Monocyte_center_protection	FCGR3A_Monocyte_center_protection	Dendritic_cell_center_protection	Mixed_myeloid_center_protection	plotted_sites	n_sites	total_motif_hits	selection_method	score_min_selected	motif_prefixes	selected_for_figure
BACH2	B_cell	-7.095929886196864e-05	-0.00082729821832084	0.0007563389194588713	-7.095929886196864e-05	8.395722976147365e-06	-0.0004681411743889416	-0.0015017977484846699	-0.0010986754344243805	-0.000910458981999994	-0.0009931116936032014	500	500	51599	top_score_500	12.69362	BACH2_MA1101.3,BACH2_MA1470.2	False
BATF	Myeloid	-0.0009063903301912454	-0.0005090981697353507	-0.0003972921604558947	-0.00026513288915112264	-0.00040463111277178293	-0.0008575305072831464	-0.0012532253664743246	-0.0006658880911282044	-0.00105137877479877	-0.000655069088363683	500	500	28298	top_score_500	8.98944	BATF_MA1634.2	False
BHLHE41	B_cell	0.027846376224525342	0.02826374536963755	-0.00041736914511220774	0.027846376224525342	0.030119995667270708	0.033523327847794424	0.02452000976263593	0.02863195094242805	0.024927476546871483	0.027859711450824706	500	500	13690	top_score_500	11.64561	BHLHE41_MA0636.1	False
CEBPA	Myeloid	0.0018355107313817196	-5.946902757931409e-06	0.001841457634139651	-5.049134263781294e-06	5.264488388773752e-06	-1.8056062398786687e-05	0.0031573216777556175	0.002209336760751087	0.00018579551736372965	0.0017895889696564438	500	500	39695	top_score_500	11.91354	CEBPA_MA0102.5	True
CEBPB	Myeloid	0.0038309769716503086	0.0008384710371742739	0.0029925059344760347	0.0005801177501512902	0.0009328912588759399	0.0010024041024955918	0.00588010962824359	0.004396048211412095	0.001634488832391826	0.0034132612145537236	500	500	17454	top_score_500	9.87872	CEBPB_MA0466.4	True
CEBPD	Myeloid	0.00048405510191859856	0.000330273594640399	0.00015378150727819956	0.00047513709442133885	0.0002316318217295947	0.0002840518677702635	0.0011043401138721566	0.0006798993135378251	-0.00040852082334470106	0.0005605018036091135	500	500	31503	top_score_500	10.12854	CEBPD_MA0836.3	False
CTCF	Control	-0.006935365518335033	-0.006935365518335033	0.0	-0.007622627926547128	-0.008451659258478957	-0.007200630816596355	-0.005327754749012935	-0.006461889494771498	-0.006809782243177959	-0.006673214139760395	500	500	181751	top_score_500	18.03973	CTCF_MA0139.2,CTCF_MA1929.2,CTCF_MA1930.2	False
EBF1	B_cell	-0.0011420414497011198	-0.000587488490887804	-0.0005545529588133158	-0.0011420414497011198	-0.0007698482109587404	-0.0006065565485133871	-0.0004919865850933628	-0.0005950738134349471	-0.0006008636995933203	-0.00046060208773306594	500	500	61995	top_score_500	11.7746	EBF1_MA0154.5	False
EOMES	T_NK	-0.00035926278074970995	6.490157911535113e-05	-0.0004241643598650611	-0.00021128109977201157	-0.0003030799441978911	-0.00041544561730152876	0.00019883501769345493	0.0002667812543819101	8.866167942283038e-05	-1.8488956149428147e-05	500	500	30079	top_score_500	10.91514	EOMES_MA0800.2	False
FOS	Myeloid	0.010433098524708162	0.009641769347272983	0.0007913291774351797	0.00925984341466992	0.009864908699113046	0.009800555928035986	0.011393794745848722	0.012383187117007246	0.00695634865130325	0.010999063584673433	500	500	55539	top_score_500	10.97323	FOS_MA0476.2,FOS_MA1951.2	False
