normalization	motif	motif_id	output_prefix	profile_type	condition	sample	n_sites	center_minus_flank
No normalization	BACH2	MA1101.3	BACH2_MA1101.3	replicate	Bcell	Bcell_rep1	6500	-0.07469478571428573
No normalization	BACH2	MA1101.3	BACH2_MA1101.3	replicate	Bcell	Bcell_rep2	6500	-0.08691988095238094
No normalization	BACH2	MA1101.3	BACH2_MA1101.3	condition_mean	Bcell	Bcell	6500	-0.08080745238095238
No normalization	BACH2	MA1101.3	BACH2_MA1101.3	replicate	Tcell	Tcell_rep1	6500	-0.03620857142857143
No normalization	BACH2	MA1101.3	BACH2_MA1101.3	replicate	Tcell	Tcell_rep2	6500	-0.02843178571428571
No normalization	BACH2	MA1101.3	BACH2_MA1101.3	condition_mean	Tcell	Tcell	6500	-0.03232028571428572
Sample-quantile	BACH2	MA1101.3	BACH2_MA1101.3	replicate	Bcell	Bcell_rep1	6500	-0.060585857142857136
Sample-quantile	BACH2	MA1101.3	BACH2_MA1101.3	replicate	Bcell	Bcell_rep2	6500	-0.04445516666666667
Sample-quantile	BACH2	MA1101.3	BACH2_MA1101.3	condition_mean	Bcell	Bcell	6500	-0.05252052380952381
Sample-quantile	BACH2	MA1101.3	BACH2_MA1101.3	replicate	Tcell	Tcell_rep1	6500	-0.04720009523809524
Sample-quantile	BACH2	MA1101.3	BACH2_MA1101.3	replicate	Tcell	Tcell_rep2	6500	-0.0402792619047619
Sample-quantile	BACH2	MA1101.3	BACH2_MA1101.3	condition_mean	Tcell	Tcell	6500	-0.04373969047619048
No normalization	JUNB	MA1140.3	JUNB_MA1140.3	replicate	Bcell	Bcell_rep1	2833	-0.274347619047619
No normalization	JUNB	MA1140.3	JUNB_MA1140.3	replicate	Bcell	Bcell_rep2	2833	-0.26473992857142853
No normalization	JUNB	MA1140.3	JUNB_MA1140.3	condition_mean	Bcell	Bcell	2833	-0.26954380952380946
No normalization	JUNB	MA1140.3	JUNB_MA1140.3	replicate	Tcell	Tcell_rep1	2833	-0.2246807619047619
No normalization	JUNB	MA1140.3	JUNB_MA1140.3	replicate	Tcell	Tcell_rep2	2833	-0.19363764285714286
No normalization	JUNB	MA1140.3	JUNB_MA1140.3	condition_mean	Tcell	Tcell	2833	-0.20915926190476186
