sample	condition	bam	peaks	biological_replicate	experiment	bam_accession	bam_md5	bam_url	peak_accession	peak_md5	peak_url
A549_rep1	A549	encode_data/bams/ENCFF607DTB.bam	encode_data/peaks/ENCFF876UEM.bed	1	ENCSR032RGS	ENCFF607DTB	3110bfd4d0405357e67defc9042f5ad3	https://www.encodeproject.org/files/ENCFF607DTB/@@download/ENCFF607DTB.bam	ENCFF876UEM	76fb0607a9bf1d10c803ff7fc9f2a2fe	https://www.encodeproject.org/files/ENCFF876UEM/@@download/ENCFF876UEM.bed.gz
A549_rep2	A549	encode_data/bams/ENCFF701BDT.bam	encode_data/peaks/ENCFF876UEM.bed	2	ENCSR032RGS	ENCFF701BDT	dd9c827c435128fee4003e2b313dac01	https://www.encodeproject.org/files/ENCFF701BDT/@@download/ENCFF701BDT.bam	ENCFF876UEM	76fb0607a9bf1d10c803ff7fc9f2a2fe	https://www.encodeproject.org/files/ENCFF876UEM/@@download/ENCFF876UEM.bed.gz
A549_rep3	A549	encode_data/bams/ENCFF616DYV.bam	encode_data/peaks/ENCFF876UEM.bed	3	ENCSR032RGS	ENCFF616DYV	e061a0e22b090213223c89694b8b732e	https://www.encodeproject.org/files/ENCFF616DYV/@@download/ENCFF616DYV.bam	ENCFF876UEM	76fb0607a9bf1d10c803ff7fc9f2a2fe	https://www.encodeproject.org/files/ENCFF876UEM/@@download/ENCFF876UEM.bed.gz
HCT116_rep1	HCT116	encode_data/bams/ENCFF724QHH.bam	encode_data/peaks/ENCFF070LSQ.bed	1	ENCSR872WGW	ENCFF724QHH	f3cb69760e5e6d1b89d264a854c91963	https://www.encodeproject.org/files/ENCFF724QHH/@@download/ENCFF724QHH.bam	ENCFF070LSQ	96286d2469155b4c26e0e51bcf42b7a8	https://www.encodeproject.org/files/ENCFF070LSQ/@@download/ENCFF070LSQ.bed.gz
HCT116_rep2	HCT116	encode_data/bams/ENCFF927YUB.bam	encode_data/peaks/ENCFF070LSQ.bed	2	ENCSR872WGW	ENCFF927YUB	60ddce150917b529d4bbe882e448ee0b	https://www.encodeproject.org/files/ENCFF927YUB/@@download/ENCFF927YUB.bam	ENCFF070LSQ	96286d2469155b4c26e0e51bcf42b7a8	https://www.encodeproject.org/files/ENCFF070LSQ/@@download/ENCFF070LSQ.bed.gz
HepG2_rep1	HepG2	encode_data/bams/ENCFF624SON.bam	encode_data/peaks/ENCFF536RJV.bed	2	ENCSR291GJU	ENCFF624SON	4a18e40ee643905cf62ae1fbbd33fb87	https://www.encodeproject.org/files/ENCFF624SON/@@download/ENCFF624SON.bam	ENCFF536RJV	4020785aaa90efbebc5a3fc92b5a9cff	https://www.encodeproject.org/files/ENCFF536RJV/@@download/ENCFF536RJV.bed.gz
HepG2_rep2	HepG2	encode_data/bams/ENCFF926KFU.bam	encode_data/peaks/ENCFF536RJV.bed	3	ENCSR291GJU	ENCFF926KFU	debb5a616ce1ca26a0d956ce54eae02b	https://www.encodeproject.org/files/ENCFF926KFU/@@download/ENCFF926KFU.bam	ENCFF536RJV	4020785aaa90efbebc5a3fc92b5a9cff	https://www.encodeproject.org/files/ENCFF536RJV/@@download/ENCFF536RJV.bed.gz
HepG2_rep3	HepG2	encode_data/bams/ENCFF990VCP.bam	encode_data/peaks/ENCFF536RJV.bed	1	ENCSR291GJU	ENCFF990VCP	7cc7c6739736b169f56e966784cefcde	https://www.encodeproject.org/files/ENCFF990VCP/@@download/ENCFF990VCP.bam	ENCFF536RJV	4020785aaa90efbebc5a3fc92b5a9cff	https://www.encodeproject.org/files/ENCFF536RJV/@@download/ENCFF536RJV.bed.gz
K562_rep1	K562	encode_data/bams/ENCFF077FBI.bam	encode_data/peaks/ENCFF855PCP.bed	3	ENCSR868FGK	ENCFF077FBI	135e5a65e5eafac97a8a2242b4c13963	https://www.encodeproject.org/files/ENCFF077FBI/@@download/ENCFF077FBI.bam	ENCFF855PCP	bee81b0efe50b144c24d2060a87aa843	https://www.encodeproject.org/files/ENCFF855PCP/@@download/ENCFF855PCP.bed.gz
K562_rep2	K562	encode_data/bams/ENCFF128WZG.bam	encode_data/peaks/ENCFF855PCP.bed	2	ENCSR868FGK	ENCFF128WZG	ed3d553646995be008241f6e75f57042	https://www.encodeproject.org/files/ENCFF128WZG/@@download/ENCFF128WZG.bam	ENCFF855PCP	bee81b0efe50b144c24d2060a87aa843	https://www.encodeproject.org/files/ENCFF855PCP/@@download/ENCFF855PCP.bed.gz
K562_rep3	K562	encode_data/bams/ENCFF534DCE.bam	encode_data/peaks/ENCFF855PCP.bed	1	ENCSR868FGK	ENCFF534DCE	4bd9c1e48617afea2a2cf4834eed961b	https://www.encodeproject.org/files/ENCFF534DCE/@@download/ENCFF534DCE.bam	ENCFF855PCP	bee81b0efe50b144c24d2060a87aa843	https://www.encodeproject.org/files/ENCFF855PCP/@@download/ENCFF855PCP.bed.gz
MCF7_rep1	MCF-7	encode_data/bams/ENCFF607OSL.bam	encode_data/peaks/ENCFF905GGG.bed	1	ENCSR422SUG	ENCFF607OSL	aa4c00c8315ce6bc836cf242f89f28c2	https://www.encodeproject.org/files/ENCFF607OSL/@@download/ENCFF607OSL.bam	ENCFF905GGG	bdda8b10eacdc11e1366482a13e16ec1	https://www.encodeproject.org/files/ENCFF905GGG/@@download/ENCFF905GGG.bed.gz
MCF7_rep2	MCF-7	encode_data/bams/ENCFF772EFK.bam	encode_data/peaks/ENCFF905GGG.bed	2	ENCSR422SUG	ENCFF772EFK	d4e8822efa5cd99046b89880de746a13	https://www.encodeproject.org/files/ENCFF772EFK/@@download/ENCFF772EFK.bam	ENCFF905GGG	bdda8b10eacdc11e1366482a13e16ec1	https://www.encodeproject.org/files/ENCFF905GGG/@@download/ENCFF905GGG.bed.gz
PC3_rep1	PC-3	encode_data/bams/ENCFF024FNF.bam	encode_data/peaks/ENCFF466CVI.bed	1	ENCSR499ASS	ENCFF024FNF	4bd2da7affc2ee131d27d5d6ac9c77e6	https://www.encodeproject.org/files/ENCFF024FNF/@@download/ENCFF024FNF.bam	ENCFF466CVI	8218893a6ca54ea4b81afc272d98c731	https://www.encodeproject.org/files/ENCFF466CVI/@@download/ENCFF466CVI.bed.gz
PC3_rep2	PC-3	encode_data/bams/ENCFF516GDK.bam	encode_data/peaks/ENCFF466CVI.bed	2	ENCSR499ASS	ENCFF516GDK	5a701d8bb414dba3152c9cc22b03ac37	https://www.encodeproject.org/files/ENCFF516GDK/@@download/ENCFF516GDK.bam	ENCFF466CVI	8218893a6ca54ea4b81afc272d98c731	https://www.encodeproject.org/files/ENCFF466CVI/@@download/ENCFF466CVI.bed.gz
Panc1_rep1	Panc1	encode_data/bams/ENCFF822BKT.bam	encode_data/peaks/ENCFF544MQW.bed	1	ENCSR591PIX	ENCFF822BKT	b5a0de17c8700f085ec4e7b954a532d2	https://www.encodeproject.org/files/ENCFF822BKT/@@download/ENCFF822BKT.bam	ENCFF544MQW	dd720f2e60b10737b749d54fd02425e2	https://www.encodeproject.org/files/ENCFF544MQW/@@download/ENCFF544MQW.bed.gz
Panc1_rep2	Panc1	encode_data/bams/ENCFF836WDC.bam	encode_data/peaks/ENCFF544MQW.bed	2	ENCSR591PIX	ENCFF836WDC	4da303499b33a5ff5d5a782ab68e6f6b	https://www.encodeproject.org/files/ENCFF836WDC/@@download/ENCFF836WDC.bam	ENCFF544MQW	dd720f2e60b10737b749d54fd02425e2	https://www.encodeproject.org/files/ENCFF544MQW/@@download/ENCFF544MQW.bed.gz
