stratum	group	n_regions	mean	median	sd
0	FOXA2 only	23	0.00015027292	0.00016434654	0.00034237114
0	HNF4A + FOXA2	23	0.00019989415	0.00025869799	0.0004368927
0	HNF4A only	23	0.0002896174	0.00036080317	0.00021094889
0	No HNF4A/FOXA2	23	7.983869e-05	0.00020562667	0.0004439444
1	FOXA2 only	50	0.00086142776	0.00089043196	0.00012246179
1	HNF4A + FOXA2	50	0.00088986259	0.00090178913	0.00012416814
1	HNF4A only	50	0.00083265666	0.00078986375	0.00014093668
1	No HNF4A/FOXA2	50	0.00084894391	0.00086322048	0.00014310413
2	FOXA2 only	54	0.001264435	0.0012641921	0.00011303028
2	HNF4A + FOXA2	54	0.0012708627	0.0012907667	0.00011862929
2	HNF4A only	54	0.0012519542	0.0012353348	0.00010762958
2	No HNF4A/FOXA2	54	0.0012535394	0.0012539851	0.00011060741
3	FOXA2 only	73	0.0016558229	0.001669881	0.00010706865
3	HNF4A + FOXA2	73	0.001635198	0.0016258948	9.9698247e-05
3	HNF4A only	73	0.001626063	0.0016191852	9.8722474e-05
3	No HNF4A/FOXA2	73	0.001637222	0.0016406882	9.5365804e-05
4	FOXA2 only	89	0.0019811648	0.0019769607	0.00010685503
4	HNF4A + FOXA2	89	0.0019826267	0.0019797199	0.00010870309
4	HNF4A only	89	0.0019781939	0.0019787033	9.9906139e-05
4	No HNF4A/FOXA2	89	0.0019851283	0.0019880672	9.4882125e-05
5	FOXA2 only	97	0.0023387722	0.0023517228	0.00010064901
5	HNF4A + FOXA2	97	0.0023458801	0.002345225	0.00010585224
5	HNF4A only	97	0.0023508585	0.0023655873	0.00010390573
5	No HNF4A/FOXA2	97	0.0023532315	0.0023705147	0.00010633672
6	FOXA2 only	100	0.0027106407	0.0027143104	0.00010398629
6	HNF4A + FOXA2	100	0.0027029809	0.0027002547	0.00010959585
6	HNF4A only	100	0.0027054622	0.0027138597	0.00010633354
6	No HNF4A/FOXA2	100	0.0026998665	0.0026961496	9.1780844e-05
7	FOXA2 only	100	0.0030591606	0.0030707601	0.00010502577
7	HNF4A + FOXA2	100	0.0030509788	0.0030461705	0.00010141871
7	HNF4A only	100	0.0030781616	0.0030786131	0.00010271108
7	No HNF4A/FOXA2	100	0.0030827095	0.0030808334	0.00010872927
8	FOXA2 only	100	0.0034511935	0.0034475428	0.00010814965
8	HNF4A + FOXA2	100	0.0034470263	0.0034466579	0.00010362603
8	HNF4A only	100	0.0034491331	0.0034571186	0.00011641238
8	No HNF4A/FOXA2	100	0.0034151422	0.0033928633	0.0001189625
9	FOXA2 only	100	0.0038486378	0.0038360304	0.00012539714
9	HNF4A + FOXA2	100	0.003871587	0.00387656	0.00012645528
9	HNF4A only	100	0.0038463023	0.0038488688	0.00012137268
9	No HNF4A/FOXA2	100	0.0038318442	0.0038303295	0.00011553346
10	FOXA2 only	100	0.0042938566	0.0043133593	0.00013089369
10	HNF4A + FOXA2	100	0.0042595457	0.0042469266	0.00011458803
10	HNF4A only	100	0.0042655602	0.0042677419	0.00013883999
10	No HNF4A/FOXA2	100	0.0042669664	0.0042465327	0.00012200372
11	FOXA2 only	100	0.0047212023	0.0047284564	0.00012878272
11	HNF4A + FOXA2	100	0.0047386808	0.004722885	0.00012927337
11	HNF4A only	100	0.0047122072	0.0047170735	0.00012150234
11	No HNF4A/FOXA2	100	0.0047292601	0.0047365821	0.00012539623
12	FOXA2 only	100	0.005210638	0.0052128786	0.00014189175
12	HNF4A + FOXA2	100	0.0051999454	0.0052105158	0.0001345665
12	HNF4A only	100	0.0052040043	0.0052382716	0.00014598691
12	No HNF4A/FOXA2	100	0.0051812495	0.0051783098	0.00013013641
13	FOXA2 only	100	0.0057021827	0.0057104146	0.0001524656
13	HNF4A + FOXA2	100	0.0057063062	0.0056893413	0.00015058503
13	HNF4A only	100	0.0057110083	0.0057139701	0.00016555163
13	No HNF4A/FOXA2	100	0.0057065002	0.0056938513	0.00017556709
14	FOXA2 only	100	0.0062481513	0.0062594979	0.0001458051
14	HNF4A + FOXA2	100	0.006250772	0.0062483446	0.00015180249
14	HNF4A only	100	0.0062594402	0.00625737	0.00017480357
14	No HNF4A/FOXA2	100	0.0062508079	0.0062311004	0.00016044717
15	FOXA2 only	100	0.0068190468	0.0068390634	0.00017066775
15	HNF4A + FOXA2	100	0.0068345083	0.0068072786	0.00017738894
15	HNF4A only	100	0.0068234467	0.0068317614	0.0001796257
15	No HNF4A/FOXA2	100	0.0068141476	0.0067952379	0.00015621943
16	FOXA2 only	100	0.0074887738	0.0075044174	0.0002069769
16	HNF4A + FOXA2	100	0.0074685014	0.007446229	0.00019810102
16	HNF4A only	100	0.0074511508	0.0074512175	0.00019086636
16	No HNF4A/FOXA2	100	0.0074521755	0.0074508835	0.00018314835
17	FOXA2 only	100	0.00810982	0.0080899175	0.00019054208
17	HNF4A + FOXA2	100	0.0081178637	0.0080930122	0.00019168572
17	HNF4A only	100	0.0081264471	0.0081204118	0.0001856454
17	No HNF4A/FOXA2	100	0.0081053135	0.0081224161	0.00019576697
18	FOXA2 only	100	0.0088292326	0.0088383001	0.00021637338
18	HNF4A + FOXA2	100	0.008849284	0.0088679086	0.00021720156
18	HNF4A only	100	0.0088388436	0.0088016867	0.00023942647
18	No HNF4A/FOXA2	100	0.008854813	0.0088587866	0.00022236029
19	FOXA2 only	100	0.0096263298	0.0096168517	0.0002319612
19	HNF4A + FOXA2	100	0.0096475076	0.0096797386	0.00023891784
19	HNF4A only	100	0.0096257487	0.0095857432	0.00023808568
19	No HNF4A/FOXA2	100	0.0096283376	0.009617125	0.00022337509
