comparison	region_set_1	region_set_2	output_prefix	name	motif_id	effect	ci_lower	ci_upper	pvalue	qvalue_bh	significant_fdr05	status	statistical_method	n_replicates	n_regions_set_1	n_regions_set_2	n_motif_regions_set_1	n_motif_regions_set_2	n_analyzed_regions_set_1	n_analyzed_regions_set_2	motif_prevalence_set_1	motif_prevalence_set_2	n_motif_sites_set_1	n_motif_sites_set_2
CTCF_bound_vs_matched_control	CTCF_bound	matched_control	Arnt_MA0004.1	Arnt	MA0004.1	0.010382470857248955	-0.03359499459635282	0.05435993631085073	0.5978890317535096	0.6683451180945068	False	tested	paired empirical-Bayes moderated t	2	1000	1000	150	152	141	150	0.15	0.152	185	179
CTCF_bound_vs_matched_control	CTCF_bound	matched_control	PAX6_MA0069.1	PAX6	MA0069.1	0.08819916180438184	0.02355753428764007	0.1528407893211236	0.01405977555007884	0.029545905141470027	True	tested	paired empirical-Bayes moderated t	2	1000	1000	86	96	79	76	0.086	0.096	93	102
CTCF_bound_vs_matched_control	CTCF_bound	matched_control	RORA_MA0071.1	RORA	MA0071.1	-0.0012374937051666587	-0.04676183831606955	0.04428685090573623	0.9511044593059663	0.9702221368799556	False	tested	paired empirical-Bayes moderated t	2	1000	1000	155	182	152	182	0.155	0.182	172	215
CTCF_bound_vs_matched_control	CTCF_bound	matched_control	RXRAVDR_MA0074.1	RXRA::VDR	MA0074.1	-0.06098574196123968	-0.16140712447356204	0.03943564055108269	0.19676625617703453	0.26175327656577985	False	tested	paired empirical-Bayes moderated t	2	1000	1000	93	102	87	93	0.093	0.102	97	105
CTCF_bound_vs_matched_control	CTCF_bound	matched_control	REL_MA0101.1	REL	MA0101.1	-0.0004859536169704026	-0.05323483059884804	0.05226292336490723	0.9834177608547868	0.9853593556442336	False	tested	paired empirical-Bayes moderated t	2	1000	1000	141	144	131	136	0.141	0.144	155	160
CTCF_bound_vs_matched_control	CTCF_bound	matched_control	RELA_MA0107.1	RELA	MA0107.1	0.00988285074911468	-0.03271331997578584	0.052479021474015196	0.6041030496940677	0.6728214616974396	False	tested	paired empirical-Bayes moderated t	2	1000	1000	144	163	144	153	0.144	0.163	165	185
CTCF_bound_vs_matched_control	CTCF_bound	matched_control	Spz1_MA0111.1	Spz1	MA0111.1	-0.02272824835469344	-0.07363017636768651	0.02817367965829963	0.3300528193346232	0.4075469727793705	False	tested	paired empirical-Bayes moderated t	2	1000	1000	131	145	127	129	0.131	0.145	141	167
CTCF_bound_vs_matched_control	CTCF_bound	matched_control	NR1H2RXRA_MA0115.1	NR1H2::RXRA	MA0115.1	-0.10921952297297921	-0.15351532530850331	-0.0649237206374551	0.0005397568040395612	0.002633909404327666	True	tested	paired empirical-Bayes moderated t	2	1000	1000	144	194	142	182	0.144	0.194	160	226
CTCF_bound_vs_matched_control	CTCF_bound	matched_control	NFICTLX1_MA0119.1	NFIC::TLX1	MA0119.1	0.00697554753913278	-0.03890210610827928	0.05285320118654484	0.7326309323176631	0.7860680722012982	False	tested	paired empirical-Bayes moderated t	2	1000	1000	111	184	109	163	0.111	0.184	121	207
CTCF_bound_vs_matched_control	CTCF_bound	matched_control	ZNF354C_MA0130.1	ZNF354C	MA0130.1	-0.0686857847226478	-0.11980568803480002	-0.017565881410495587	0.015088103868929123	0.031190275818662037	True	tested	paired empirical-Bayes moderated t	2	1000	1000	220	219	220	216	0.22	0.219	267	257
CTCF_bound_vs_matched_control	CTCF_bound	matched_control	Pou5f1Sox2_MA0142.1	Pou5f1::Sox2	MA0142.1	-0.05067967028169607	-0.09341187140145045	-0.007947469161941695	0.025973287262409158	0.04927642349784168	True	tested	paired empirical-Bayes moderated t	2	1000	1000	240	345	240	345	0.24	0.345	296	507
