normalization	tfbs	sample	condition	depth_factor	n_sites	mean_profile	center_mean	flank_mean	baseline_mean	footprint_contrast	bindetect_direction	bindetect_change
raw	test_data/BATF_all.bed	B cell rep1	B cell	0.700;offset=-1.500	990	-1.098551	-1.874457	-0.873399	-1.049723	1.001057	B-high	0.51138
raw	test_data/BATF_all.bed	B cell rep2	B cell	0.900;offset=0.200	990	0.716206	-0.281616	1.006029	0.778974	1.287644	B-high	0.51138
raw	test_data/BATF_all.bed	T cell rep1	T cell	1.250;offset=4.500	990	4.846340	4.624779	4.955922	4.770284	0.331143	B-high	0.51138
raw	test_data/BATF_all.bed	T cell rep2	T cell	1.450;offset=6.500	990	6.901739	6.644718	7.028854	6.813329	0.384136	B-high	0.51138
sample_quantile	test_data/BATF_all.bed	B cell rep1	B cell	0.700;offset=-1.500	990	14.185897	13.802692	14.298096	14.204980	0.495403	B-high	0.51138
sample_quantile	test_data/BATF_all.bed	B cell rep2	B cell	0.900;offset=0.200	990	-17.079239	-29.472840	-15.434875	-14.204980	14.037965	B-high	0.51138
sample_quantile	test_data/BATF_all.bed	T cell rep1	T cell	1.250;offset=4.500	990	-0.538038	-1.111149	-0.312954	-0.563851	0.798194	B-high	0.51138
sample_quantile	test_data/BATF_all.bed	T cell rep2	T cell	1.450;offset=6.500	990	0.605292	0.120010	0.802884	0.563851	0.682874	B-high	0.51138
raw_summary	test_data/BATF_all.bed	condition means	B cell vs T cell	NA	NA	NA	NA	NA	5.927182	0.357639	B-high	0.51138
sample_quantile_summary	test_data/BATF_all.bed	condition means	B cell vs T cell	NA	NA	NA	NA	NA	0.000000	0.740534	B-high	0.51138
raw	test_data/annotated_tfbs/ATF7_Bcell_bound.bed	B cell rep1	B cell	0.700;offset=-1.500	80	-0.282185	-9.046423	1.735315	0.599983	10.781738	T-high	-0.16622
raw	test_data/annotated_tfbs/ATF7_Bcell_bound.bed	B cell rep2	B cell	0.900;offset=0.200	80	1.766895	-9.504047	4.361506	2.900604	13.865553	T-high	-0.16622
raw	test_data/annotated_tfbs/ATF7_Bcell_bound.bed	T cell rep1	T cell	1.250;offset=4.500	80	8.911891	-9.186766	14.490293	10.294162	23.677059	T-high	-0.16622
raw	test_data/annotated_tfbs/ATF7_Bcell_bound.bed	T cell rep2	T cell	1.450;offset=6.500	80	11.618314	-9.379479	18.088783	13.223639	27.468261	T-high	-0.16622
sample_quantile	test_data/annotated_tfbs/ATF7_Bcell_bound.bed	B cell rep1	B cell	0.700;offset=-1.500	80	-2.397823	-7.586351	-0.937443	-1.967390	6.648907	T-high	-0.16622
sample_quantile	test_data/annotated_tfbs/ATF7_Bcell_bound.bed	B cell rep2	B cell	0.900;offset=0.200	80	-0.436444	-24.334533	5.064981	1.967390	29.399514	T-high	-0.16622
sample_quantile	test_data/annotated_tfbs/ATF7_Bcell_bound.bed	T cell rep1	T cell	1.250;offset=4.500	80	-3.693116	-30.108013	2.538925	-1.148897	32.646937	T-high	-0.16622
sample_quantile	test_data/annotated_tfbs/ATF7_Bcell_bound.bed	T cell rep2	T cell	1.450;offset=6.500	80	-1.237869	-26.272008	4.783142	1.148897	31.055150	T-high	-0.16622
raw_summary	test_data/annotated_tfbs/ATF7_Bcell_bound.bed	condition means	B cell vs T cell	NA	NA	NA	NA	NA	10.008607	12.323646	T-high	-0.16622
sample_quantile_summary	test_data/annotated_tfbs/ATF7_Bcell_bound.bed	condition means	B cell vs T cell	NA	NA	NA	NA	NA	0.000000	18.024211	T-high	-0.16622
