rank	signature_id	output_prefix	name	motif_id	total_tfbs	B_cell_mean_score	Monocyte_mean_score	T_NK_cell_mean_score	B_cell_Monocyte_change	B_cell_T_NK_cell_change	Monocyte_T_NK_cell_change	mean_differential_score	dynamic_range	dominant_cell_type	B_cell_differential_score	B_cell_signature_z	Monocyte_differential_score	Monocyte_signature_z	T_NK_cell_differential_score	T_NK_cell_signature_z
1	PAX2_MA0067.3	PAX2_MA0067.3	PAX2	MA0067.3	1732	2.03861	1.77207	1.89431	0.30606	0.24793	-0.08613	2.7755575615628914e-17	0.31539333333333336	B_cell	0.18466333333333337	1.3751305603769757	-0.13072999999999999	-0.9735057572776514	-0.053933333333333305	-0.40162480309932425
2	PAX8_MA2094.1	PAX8_MA2094.1	PAX8	MA2094.1	1753	1.95508	1.79819	2.01454	0.29464	0.19222	-0.12792	1.5034270125132327e-17	0.3031400000000001	B_cell	0.16228666666666672	1.30161566641223	-0.14085333333333336	-1.1297102164875983	-0.021433333333333315	-0.17190544992463205
3	ZNF395_MA2566.1	ZNF395_MA2566.1	ZNF395	MA2566.1	3557	2.12467	2.39503	3.38918	0.29133	0.01672	-0.29661	-1.850371707708594e-17	0.29866333333333334	B_cell	0.10268333333333333	0.7406912578907635	-0.19598	-1.4136731639808322	0.0932966666666666	0.6729819060900687
4	TCF4_MA0830.3	TCF4_MA0830.3	TCF4	MA0830.3	9620	1.47924	1.35707	1.962	0.2527	0.02365	-0.24235	-9.25185853854297e-18	0.2571333333333333	B_cell	0.09211666666666667	0.7876731037593419	-0.16501666666666664	-1.4110279356470492	0.07289999999999995	0.6233548318877075
5	SNAI1_MA1558.2	SNAI1_MA1558.2	SNAI1	MA1558.2	5967	1.55391	1.44613	2.12366	0.24692	0.0084	-0.25052	-4.625929269271485e-18	0.25092000000000003	B_cell	0.08510666666666668	0.7257852980937742	-0.16581333333333334	-1.4140476213526831	0.08070666666666665	0.6882623232589087
6	TCF3_MA0522.4	TCF3_MA0522.4	TCF3	MA0522.4	5967	1.55391	1.44613	2.12366	0.24692	0.0084	-0.25052	-4.625929269271485e-18	0.25092000000000003	B_cell	0.08510666666666668	0.7257852980937742	-0.16581333333333334	-1.4140476213526831	0.08070666666666665	0.6882623232589087
7	SNAI3_MA1559.2	SNAI3_MA1559.2	SNAI3	MA1559.2	10463	1.35646	1.27536	1.7694	0.24058	0.03381	-0.22036	6.938893903907228e-18	0.24511000000000002	B_cell	0.09146333333333337	0.8368084098851684	-0.15364666666666665	-1.4057307790096918	0.062183333333333306	0.5689223691245235
8	SNAI2_MA0745.3	SNAI2_MA0745.3	SNAI2	MA0745.3	10258	1.34615	1.27286	1.76996	0.23837	0.02979	-0.22157	-4.625929269271485e-18	0.24270000000000003	B_cell	0.08938666666666668	0.8207687210176895	-0.15331333333333333	-1.4077579264054148	0.06392666666666663	0.5869892053877251
9	POU5F1B_MA0792.1	POU5F1B_MA0792.1	POU5F1B	MA0792.1	4940	1.33603	1.39091	1.21099	0.15805	0.24162	0.06362	2.312964634635743e-17	0.23496999999999996	B_cell	0.13322333333333336	1.3528727857258538	-0.031476666666666674	-0.31964314848773356	-0.10174666666666661	-1.0332296372381202
10	FIGLA_MA0820.2	FIGLA_MA0820.2	FIGLA	MA0820.2	22054	1.29701	1.25652	1.76483	0.22836	0.01217	-0.22687	-2.312964634635743e-17	0.23192000000000002	B_cell	0.08017666666666666	0.746827781340435	-0.15174333333333334	-1.4134553315578353	0.07156666666666661	0.6666275502174004
11	ZEB1_MA0103.4	ZEB1_MA0103.4	ZEB1	MA0103.4	22054	1.29701	1.25652	1.76483	0.22836	0.01217	-0.22687	-2.312964634635743e-17	0.23192000000000002	B_cell	0.08017666666666666	0.746827781340435	-0.15174333333333334	-1.4134553315578353	0.07156666666666661	0.6666275502174004
12	ZEB2_MA2686.1	ZEB2_MA2686.1	ZEB2	MA2686.1	22054	1.29701	1.25652	1.76483	0.22836	0.01217	-0.22687	-2.312964634635743e-17	0.23192000000000002	B_cell	0.08017666666666666	0.746827781340435	-0.15174333333333334	-1.4134553315578353	0.07156666666666661	0.6666275502174004
13	POU2F1_MA0785.2	POU2F1_MA0785.2	POU2F1	MA0785.2	4799	1.35091	1.39229	1.23439	0.15799	0.23755	0.05912	2.312964634635743e-17	0.23073666666666665	B_cell	0.1318466666666667	1.3587165855893257	-0.03295666666666667	-0.33962762000610996	-0.09888999999999996	-1.019088965583216
14	Ptf1A_MA1620.2	Ptf1A_MA1620.2	Ptf1A	MA1620.2	7807	1.24303	1.17024	1.5009	0.22265	0.0551	-0.18187	2.3129646346357427e-18	0.22742333333333334	B_cell	0.09258333333333335	0.9492336223327996	-0.13484	-1.3824805937212024	0.042256666666666644	0.43324697138840296
15	PAX1_MA0779.2	PAX1_MA0779.2	PAX1	MA0779.2	1814	1.90196	1.91043	1.85275	0.21254	0.2159	-0.0183	2.7755575615628914e-17	0.21976	B_cell	0.14281333333333338	1.412796944145955	-0.07694666666666665	-0.7612035444558217	-0.06586666666666664	-0.6515933996901332
16	POU3F4_MA0789.1	POU3F4_MA0789.1	POU3F4	MA0789.1	4739	1.31559	1.40996	1.23909	0.13797	0.22023	0.06215	9.25185853854297e-18	0.2135266666666667	B_cell	0.11940000000000002	1.3418008719132766	-0.025273333333333335	-0.2840182638427266	-0.09412666666666666	-1.0577826080705501
17	ASCL1_MA1631.2	ASCL1_MA1631.2	ASCL1	MA1631.2	11647	1.49203	1.52176	2.01955	0.20692	0.02352	-0.19586	-9.25185853854297e-18	0.2110733333333333	B_cell	0.07681333333333332	0.8063137773207183	-0.13426	-1.4093345913436857	0.057446666666666646	0.6030208140229673
18	POU2F2_MA0507.3	POU2F2_MA0507.3	POU2F2	MA0507.3	5468	1.20176	1.36692	1.1336	0.11646	0.21357	0.07682	2.7755575615628914e-17	0.20680666666666664	B_cell	0.11001000000000004	1.2950903971553407	-0.013213333333333339	-0.15555368706856296	-0.09679666666666661	-1.1395367100867777
19	POU1F1_MA0784.3	POU1F1_MA0784.3	POU1F1	MA0784.3	5785	1.12161	1.37651	1.09679	0.08925	0.20782	0.09881	2.7755575615628914e-17	0.20123333333333332	B_cell	0.09902333333333337	1.2048970629541484	0.0031866666666666606	0.03877475316202086	-0.10220999999999994	-1.2436718161161693
20	ZBTB17_MA2102.1	ZBTB17_MA2102.1	ZBTB17	MA2102.1	212	0.96871	1.11061	1.14929	0.19123	0.12512	-0.08284	1.5612511283791264e-17	0.19680666666666669	B_cell	0.10545000000000004	1.3024685549258301	-0.09135666666666666	-1.128394363358692	-0.014093333333333341	-0.17407419156713821
