output_prefix	name	total_tfbs	change	pvalue	qvalue	status
Arnt_MA0004.1	Arnt	3081	0.00093	0.00382313	0.00404545	higher in first
PAX6_MA0069.1	PAX6	2354	0.07948	7.878269999999999e-58	1.65867e-57	higher in first
RORA_MA0071.1	RORA	4971	-0.04886	2.13161e-59	4.62152e-59	higher in second
RXRAVDR_MA0074.1	RXRA::VDR	3030	-0.00246	0.0015111	0.00161068	higher in second
REL_MA0101.1	REL	4838	0.02807	1.24101e-30	1.75637e-30	higher in first
RELA_MA0107.1	RELA	5851	0.00505	0.000139347	0.000149942	higher in first
Spz1_MA0111.1	Spz1	6746	0.01644	1.0784500000000001e-24	1.4365200000000001e-24	higher in first
NR1H2RXRA_MA0115.1	NR1H2::RXRA	4769	-0.02628	8.20823e-30	1.1489300000000001e-29	higher in second
NFICTLX1_MA0119.1	NFIC::TLX1	6575	-0.10281	1.5311699999999999e-90	6.78376e-90	higher in second
ZNF354C_MA0130.1	ZNF354C	9196	-0.02418	1.5493700000000002e-40	2.48632e-40	higher in second
Pou5f1Sox2_MA0142.1	Pou5f1::Sox2	7627	0.02106	2.80703e-32	4.04577e-32	higher in first
EWSR1-FLI1_MA0149.1	EWSR1-FLI1	22246	-0.06821	5.74992e-100	3.08377e-99	higher in second
Arid3a_MA0151.1	Arid3a	18450	0.05352	1.5972399999999998e-86	6.40781e-86	higher in first
INSM1_MA0155.1	INSM1	10396	0.06678	3.49148e-87	1.42313e-86	higher in first
RARARXRA_MA0159.1	RARA::RXRA	6372	-0.00567	1.82452e-09	2.11271e-09	higher in second
PLAG1_MA0163.1	PLAG1	14898	0.1252	9.13192e-118	7.26986e-117	higher in first
Tfcp2l1_MA0145.2	Tfcp2l1	7688	0.03006	1.10631e-44	1.86644e-44	higher in first
DUX4_MA0468.1	DUX4	4470	-0.03296	7.21968e-39	1.11468e-38	higher in second
Sox6_MA0515.1	Sox6	7646	-0.02569	1.64845e-38	2.53742e-38	higher in second
ESR2_MA0258.2	ESR2	7688	-0.0145	2.58001e-19	3.29866e-19	higher in second
SREBF1_MA0595.1	SREBF1	7831	-0.00824	7.55971e-10	8.76376e-10	higher in second
SREBF2_MA0596.1	SREBF2	6113	-0.03606	8.18879e-50	1.50349e-49	higher in second
KLF5_MA0599.1	KLF5	22848	0.12916	4.72458e-131	5.2904900000000004e-130	higher in first
Atf1_MA0604.1	Atf1	906	-0.12516	2.10988e-57	4.36099e-57	higher in second
Creb3l2_MA0608.1	Creb3l2	1597	-0.0077	0.0493245	0.051183	not significant
FOXG1_MA0613.1	FOXG1	5950	0.00512	2.13047e-05	2.3623e-05	higher in first
Foxj2_MA0614.1	Foxj2	3592	0.01374	1.76607e-10	2.05437e-10	higher in first
BHLHE41_MA0636.1	BHLHE41	1231	-0.10486	1.28293e-57	2.6789e-57	higher in second
ELF4_MA0641.1	ELF4	4501	-0.10201	3.7959e-89	1.6459699999999998e-88	higher in second
FOXI1_MA0042.2	FOXI1	6240	0.05537	8.504769999999999e-64	2.0586600000000001e-63	higher in first
FOXL1_MA0033.2	FOXL1	3065	0.04807	1.7609e-46	3.031e-46	higher in first
HNF1B_MA0153.2	HNF1B	3207	0.02526	2.35487e-24	3.1204300000000003e-24	higher in first
HSF1_MA0486.2	HSF1	3814	-0.0464	3.1367399999999997e-49	5.6874299999999996e-49	higher in second
IRF9_MA0653.1	IRF9	6292	0.07166	1.73466e-77	5.5238e-77	higher in first
JDP2_MA0655.1	JDP2	4002	-0.43488	1.39861e-140	2.33637e-139	higher in second
MEF2B_MA0660.1	MEF2B	7120	0.04251	3.3606799999999996e-58	7.11961e-58	higher in first
MLX_MA0663.1	MLX	1399	-0.09426	4.72019e-56	9.46826e-56	higher in second
MSC_MA0665.1	MSC	6245	0.04765	8.27226e-59	1.77462e-58	higher in first
MYF6_MA0667.1	MYF6	3606	0.03944	2.7098899999999996e-39	4.2094199999999994e-39	higher in first
NEUROG2_MA0669.1	NEUROG2	2989	-0.07336	1.91444e-63	4.6009700000000005e-63	higher in second
Nr2e1_MA0676.1	Nr2e1	6041	-0.02235	2.0219699999999998e-31	2.8736199999999997e-31	higher in second
OLIG2_MA0678.1	OLIG2	1895	-0.08149	1.13676e-52	2.16111e-52	higher in second
PAX4_MA0068.2	PAX4	936	0.00674	0.046816	0.0486791	higher in first
Rxra_MA0512.2	Rxra	5180	-0.05137	1.89131e-54	3.71338e-54	higher in second
SRF_MA0083.3	SRF	2038	-0.07411	8.77741e-58	1.84416e-57	higher in second
TBXT_MA0009.2	TBXT	2199	0.00246	0.191422	0.194864	not significant
TBX20_MA0689.1	TBX20	5502	0.06242	2.91482e-68	7.6159e-68	higher in first
TFAP4_MA0691.1	TFAP4	4834	-0.01204	3.72003e-13	4.46492e-13	higher in second
ZIC1_MA0696.1	ZIC1	7394	0.19988	4.5265e-131	5.125e-130	higher in first
PHOX2A_MA0713.1	PHOX2A	3947	0.02977	5.9557000000000005e-40	9.453050000000001e-40	higher in first
PROP1_MA0715.1	PROP1	4614	0.03101	1.23553e-36	1.85147e-36	higher in first
VENTX_MA0724.1	VENTX	1819	-0.00619	0.00553662	0.00584644	higher in second
Nr2F6_MA0728.1	Nr2F6	8698	-0.01807	2.5725e-30	3.63072e-30	higher in second
RARA_MA0729.1	RARA	7289	-0.04124	1.51311e-57	3.14666e-57	higher in second
RARA_MA0730.1	RARA	5352	-0.03364	4.45362e-45	7.55115e-45	higher in second
BCL6B_MA0731.1	BCL6B	4821	-0.02884	2.03489e-35	3.01388e-35	higher in second
EGR2_MA0472.2	EGR2	3947	0.25682	8.527769999999999e-123	7.55635e-122	higher in first
GLIS2_MA0736.1	GLIS2	5482	0.24311	3.5468300000000004e-126	3.47522e-125	higher in first
GLIS3_MA0737.1	GLIS3	4422	0.10501	1.15948e-89	5.07086e-89	higher in first
KLF16_MA0741.1	KLF16	15537	0.19568	3.37118e-137	4.83836e-136	higher in first
E2F7_MA0758.1	E2F7	3069	0.02602	1.7511100000000002e-26	2.376e-26	higher in first
HSF2_MA0770.1	HSF2	4432	-0.03542	7.84268e-38	1.19457e-37	higher in second
HSF4_MA0771.1	HSF4	3705	-0.04253	2.63526e-47	4.67828e-47	higher in second
MEF2D_MA0773.1	MEF2D	8574	0.0444	5.57015e-64	1.36442e-63	higher in first
MEIS2_MA0774.1	MEIS2	4958	0.03841	2.02713e-49	3.70187e-49	higher in first
MYBL1_MA0776.1	MYBL1	725	-0.0047	0.920301	0.922111	not significant
MYBL2_MA0777.1	MYBL2	704	0.04399	2.1573900000000001e-19	2.7617800000000002e-19	higher in first
NFKB1_MA0105.4	NFKB1	5422	0.12949	1.46799e-99	7.83185e-99	higher in first
PAX3_MA0780.1	PAX3	1503	0.02806	4.26888e-15	5.22207e-15	higher in first
PKNOX2_MA0783.1	PKNOX2	5613	0.03759	1.37273e-47	2.44547e-47	higher in first
POU3F2_MA0787.1	POU3F2	6246	0.10254	8.623e-89	3.6764999999999996e-88	higher in first
POU3F3_MA0788.1	POU3F3	6832	0.08498	4.72738e-85	1.83164e-84	higher in first
POU3F4_MA0789.1	POU3F4	4739	0.13797	3.12156e-100	1.701e-99	higher in first
POU5F1B_MA0792.1	POU5F1B	4940	0.15805	1.9223599999999998e-105	1.13889e-104	higher in first
PROX1_MA0794.1	PROX1	2000	-0.01104	7.48052e-07	8.37654e-07	higher in second
SMAD3_MA0795.1	SMAD3	1393	-0.00034	0.841418	0.845567	not significant
TGIF1_MA0796.1	TGIF1	5036	0.04876	1.98497e-56	3.9973900000000004e-56	higher in first
TGIF2_MA0797.1	TGIF2	4865	0.04092	2.60899e-51	4.88706e-51	higher in first
RUNX2_MA0511.2	RUNX2	3723	0.04004	1.42909e-44	2.4070200000000003e-44	higher in first
MGA_MA0801.1	MGA	7693	0.0563	1.14293e-68	3.00943e-68	higher in first
TBX15_MA0803.1	TBX15	7932	0.10149	2.7829099999999998e-98	1.44683e-97	higher in first
TBX1_MA0805.1	TBX1	5494	0.09998	1.7071099999999998e-87	7.0143e-87	higher in first
TBX4_MA0806.1	TBX4	5448	0.11086	1.2837799999999999e-95	6.31969e-95	higher in first
TBX5_MA0807.1	TBX5	7125	0.15113	3.88227e-104	2.23504e-103	higher in first
