output_prefix	name	total_tfbs	change	pvalue	qvalue	status
Arnt_MA0004.1	Arnt	3081	-0.04077	3.8211e-42	7.487889999999999e-42	higher in second
PAX6_MA0069.1	PAX6	2354	0.10682	4.2808900000000005e-74	2.03842e-73	higher in first
RORA_MA0071.1	RORA	4971	-0.02915	1.22613e-35	2.08585e-35	higher in second
RXRAVDR_MA0074.1	RXRA::VDR	3030	0.0022	0.111739	0.115012	not significant
REL_MA0101.1	REL	4838	0.06011	8.719500000000001e-69	3.48438e-68	higher in first
RELA_MA0107.1	RELA	5851	0.04209	1.22825e-51	2.9449099999999995e-51	higher in first
Spz1_MA0111.1	Spz1	6746	-0.00828	3.56617e-07	4.08766e-07	higher in second
NR1H2RXRA_MA0115.1	NR1H2::RXRA	4769	0.02968	7.50136e-39	1.36012e-38	higher in first
NFICTLX1_MA0119.1	NFIC::TLX1	6575	-0.06214	1.1225e-68	4.46808e-68	higher in second
ZNF354C_MA0130.1	ZNF354C	9196	-0.02542	2.8305499999999998e-49	6.423889999999999e-49	higher in second
Pou5f1Sox2_MA0142.1	Pou5f1::Sox2	7627	0.09093	4.15846e-90	3.38997e-89	higher in first
EWSR1-FLI1_MA0149.1	EWSR1-FLI1	22246	0.04868	3.6601899999999996e-88	2.7027e-87	higher in first
Arid3a_MA0151.1	Arid3a	18450	0.05845	2.7394e-90	2.2511699999999998e-89	higher in first
INSM1_MA0155.1	INSM1	10396	-0.02272	9.05294e-38	1.60434e-37	higher in second
RARARXRA_MA0159.1	RARA::RXRA	6372	-0.02856	3.45421e-41	6.69172e-41	higher in second
PLAG1_MA0163.1	PLAG1	14898	-0.02905	7.781699999999999e-57	2.1724800000000002e-56	higher in second
Tfcp2l1_MA0145.2	Tfcp2l1	7688	-0.01279	1.12428e-21	1.55657e-21	higher in second
DUX4_MA0468.1	DUX4	4470	0.06368	1.50321e-61	4.61376e-61	higher in first
Sox6_MA0515.1	Sox6	7646	0.0194	6.5657299999999995e-31	1.0137100000000001e-30	higher in first
ESR2_MA0258.2	ESR2	7688	-0.04871	9.64987e-62	2.98882e-61	higher in second
SREBF1_MA0595.1	SREBF1	7831	-0.03901	1.82708e-54	4.83583e-54	higher in second
SREBF2_MA0596.1	SREBF2	6113	-0.0468	4.85625e-54	1.2559700000000002e-53	higher in second
KLF5_MA0599.1	KLF5	22848	-0.02617	1.94389e-62	6.19008e-62	higher in second
Atf1_MA0604.1	Atf1	906	0.06266	2.3711100000000002e-29	3.5531800000000005e-29	higher in first
Creb3l2_MA0608.1	Creb3l2	1597	-0.00772	0.0110962	0.011705	higher in second
FOXG1_MA0613.1	FOXG1	5950	0.00898	1.28376e-07	1.48148e-07	higher in first
Foxj2_MA0614.1	Foxj2	3592	0.02152	9.40492e-26	1.36324e-25	higher in first
BHLHE41_MA0636.1	BHLHE41	1231	-0.0318	4.7779300000000006e-18	6.298470000000001e-18	higher in second
ELF4_MA0641.1	ELF4	4501	0.12549	1.46066e-97	2.15712e-96	higher in first
FOXI1_MA0042.2	FOXI1	6240	0.02613	7.57782e-37	1.31323e-36	higher in first
FOXL1_MA0033.2	FOXL1	3065	0.00655	0.00220543	0.00235569	higher in first
HNF1B_MA0153.2	HNF1B	3207	0.03556	2.21545e-35	3.74385e-35	higher in first
HSF1_MA0486.2	HSF1	3814	0.04095	2.9481699999999996e-42	5.85612e-42	higher in first
IRF9_MA0653.1	IRF9	6292	0.14584	1.42968e-109	3.93742e-108	higher in first
JDP2_MA0655.1	JDP2	4002	-0.11683	1.5092e-83	1.04617e-82	higher in second
MEF2B_MA0660.1	MEF2B	7120	0.08266	7.38958e-79	3.9424e-78	higher in first
MLX_MA0663.1	MLX	1399	-0.02672	4.77785e-14	5.97378e-14	higher in second
MSC_MA0665.1	MSC	6245	0.02315	1.54532e-36	2.65993e-36	higher in first
MYF6_MA0667.1	MYF6	3606	0.05582	2.43381e-53	6.21568e-53	higher in first
NEUROG2_MA0669.1	NEUROG2	2989	-0.0114	1.54389e-10	1.85522e-10	higher in second
Nr2e1_MA0676.1	Nr2e1	6041	0.03962	9.981369999999999e-52	2.4044899999999996e-51	higher in first
OLIG2_MA0678.1	OLIG2	1895	0.04523	2.0304999999999998e-39	3.72807e-39	higher in first
PAX4_MA0068.2	PAX4	936	0.04444	4.3428100000000004e-26	6.31287e-26	higher in first
Rxra_MA0512.2	Rxra	5180	-0.01321	3.16043e-15	4.01556e-15	higher in second
SRF_MA0083.3	SRF	2038	-9e-05	0.687393	0.692832	not significant
TBXT_MA0009.2	TBXT	2199	-0.0647	1.02147e-52	2.53872e-52	higher in second
TBX20_MA0689.1	TBX20	5502	-0.11728	4.81092e-93	5.4943799999999996e-92	higher in second
TFAP4_MA0691.1	TFAP4	4834	0.02486	8.44387e-32	1.3217099999999999e-31	higher in first
ZIC1_MA0696.1	ZIC1	7394	-0.04267	1.19015e-58	3.44534e-58	higher in second
PHOX2A_MA0713.1	PHOX2A	3947	0.08751	3.02979e-77	1.58326e-76	higher in first
PROP1_MA0715.1	PROP1	4614	0.08345	3.6850399999999997e-73	1.6991200000000001e-72	higher in first
VENTX_MA0724.1	VENTX	1819	0.0729	1.7703999999999998e-51	4.2249099999999993e-51	higher in first
Nr2F6_MA0728.1	Nr2F6	8698	-0.02628	5.7924999999999994e-49	1.30299e-48	higher in second
RARA_MA0729.1	RARA	7289	0.00311	0.229003	0.234527	not significant
RARA_MA0730.1	RARA	5352	-0.01371	2.53036e-19	3.41515e-19	higher in second
