output_prefix	name	total_tfbs	change	pvalue	qvalue	status
Arnt_MA0004.1	Arnt	3081	-0.04883	2.44581e-42	3.48571e-42	higher in second
PAX6_MA0069.1	PAX6	2354	0.02292	5.7001500000000004e-18	6.714970000000001e-18	higher in first
RORA_MA0071.1	RORA	4971	0.02092	5.67739e-28	7.15113e-28	higher in first
RXRAVDR_MA0074.1	RXRA::VDR	3030	-0.00564	1.33246e-05	1.42175e-05	higher in second
REL_MA0101.1	REL	4838	0.02036	5.356119999999999e-31	6.926249999999999e-31	higher in first
RELA_MA0107.1	RELA	5851	0.02764	6.28201e-41	8.82947e-41	higher in first
Spz1_MA0111.1	Spz1	6746	-0.02878	4.95124e-43	7.1362299999999995e-43	higher in second
NR1H2RXRA_MA0115.1	NR1H2::RXRA	4769	0.0506	8.54207e-54	1.42695e-53	higher in first
NFICTLX1_MA0119.1	NFIC::TLX1	6575	0.04235	1.4557100000000001e-55	2.4764e-55	higher in first
ZNF354C_MA0130.1	ZNF354C	9196	-0.00249	0.0209976	0.0218555	higher in second
Pou5f1Sox2_MA0142.1	Pou5f1::Sox2	7627	0.0625	1.00565e-73	2.41689e-73	higher in first
EWSR1-FLI1_MA0149.1	EWSR1-FLI1	22246	0.10518	1.00232e-117	5.8699299999999996e-117	higher in first
Arid3a_MA0151.1	Arid3a	18450	0.00154	0.0662571	0.0684747	not significant
INSM1_MA0155.1	INSM1	10396	-0.09398	2.4923599999999998e-101	1.08535e-100	higher in second
RARARXRA_MA0159.1	RARA::RXRA	6372	-0.02632	1.84672e-33	2.41567e-33	higher in second
PLAG1_MA0163.1	PLAG1	14898	-0.16102	8.62875e-127	6.41802e-126	higher in second
Tfcp2l1_MA0145.2	Tfcp2l1	7688	-0.05085	1.60399e-68	3.5149800000000002e-68	higher in second
DUX4_MA0468.1	DUX4	4470	0.09375	2.3487699999999998e-78	6.838289999999999e-78	higher in first
Sox6_MA0515.1	Sox6	7646	0.0385	1.09054e-56	1.8739700000000002e-56	higher in first
ESR2_MA0258.2	ESR2	7688	-0.037	1.89908e-54	3.18807e-54	higher in second
SREBF1_MA0595.1	SREBF1	7831	-0.03688	1.93351e-52	3.14234e-52	higher in second
SREBF2_MA0596.1	SREBF2	6113	-0.01471	6.38577e-21	7.70071e-21	higher in second
KLF5_MA0599.1	KLF5	22848	-0.16076	1.48281e-136	2.01464e-135	higher in second
Atf1_MA0604.1	Atf1	906	0.16535	1.87311e-72	4.38782e-72	higher in first
Creb3l2_MA0608.1	Creb3l2	1597	-0.01313	6.83389e-07	7.38466e-07	higher in second
FOXG1_MA0613.1	FOXG1	5950	0.00336	0.000907024	0.00095778	higher in first
Foxj2_MA0614.1	Foxj2	3592	0.00365	0.189539	0.193528	not significant
BHLHE41_MA0636.1	BHLHE41	1231	0.05994	9.75794e-38	1.34551e-37	higher in first
ELF4_MA0641.1	ELF4	4501	0.20236	6.86383e-116	3.84299e-115	higher in first
FOXI1_MA0042.2	FOXI1	6240	-0.0313	6.26411e-48	9.7008e-48	higher in second
FOXL1_MA0033.2	FOXL1	3065	-0.0448	3.4380300000000003e-44	5.01913e-44	higher in second
HNF1B_MA0153.2	HNF1B	3207	0.01011	1.51906e-05	1.61917e-05	higher in first
HSF1_MA0486.2	HSF1	3814	0.0831	1.93166e-73	4.58825e-73	higher in first
IRF9_MA0653.1	IRF9	6292	0.05794	2.8785700000000004e-76	7.444840000000001e-76	higher in first
JDP2_MA0655.1	JDP2	4002	0.31682	1.4534200000000002e-129	1.17543e-128	higher in first
MEF2B_MA0660.1	MEF2B	7120	0.03154	1.84556e-45	2.79025e-45	higher in first
MLX_MA0663.1	MLX	1399	0.05715	4.2384300000000004e-44	6.15236e-44	higher in first
MSC_MA0665.1	MSC	6245	-0.03408	4.45115e-47	6.82063e-47	higher in second
MYF6_MA0667.1	MYF6	3606	0.00781	1.48793e-08	1.63032e-08	higher in first
NEUROG2_MA0669.1	NEUROG2	2989	0.06189	1.30985e-52	2.139e-52	higher in first
Nr2e1_MA0676.1	Nr2e1	6041	0.05806	5.01358e-65	1.0362799999999999e-64	higher in first
OLIG2_MA0678.1	OLIG2	1895	0.12267	1.80449e-76	4.72694e-76	higher in first
PAX4_MA0068.2	PAX4	936	0.03354	2.25459e-17	2.64376e-17	higher in first
Rxra_MA0512.2	Rxra	5180	0.03402	6.18166e-44	8.96033e-44	higher in first
SRF_MA0083.3	SRF	2038	0.07037	1.76508e-57	3.0536799999999996e-57	higher in first
TBXT_MA0009.2	TBXT	2199	-0.06379	9.258130000000001e-55	1.5645200000000002e-54	higher in second
TBX20_MA0689.1	TBX20	5502	-0.17412	1.01242e-111	5.1582799999999996e-111	higher in second
TFAP4_MA0691.1	TFAP4	4834	0.02842	4.18309e-36	5.69862e-36	higher in first
ZIC1_MA0696.1	ZIC1	7394	-0.2506	1.23589e-133	1.25937e-132	higher in second
PHOX2A_MA0713.1	PHOX2A	3947	0.05227	8.837030000000001e-56	1.50584e-55	higher in first
PROP1_MA0715.1	PROP1	4614	0.04591	5.00318e-52	7.990969999999999e-52	higher in first
VENTX_MA0724.1	VENTX	1819	0.07239	5.6394199999999995e-49	8.81376e-49	higher in first
Nr2F6_MA0728.1	Nr2F6	8698	-0.01198	6.680250000000001e-19	7.92453e-19	higher in second
RARA_MA0729.1	RARA	7289	0.03786	6.99887e-56	1.19462e-55	higher in first
RARA_MA0730.1	RARA	5352	0.01614	2.2929000000000002e-24	2.8184100000000002e-24	higher in first
BCL6B_MA0731.1	BCL6B	4821	0.06674	9.84348e-68	2.1206100000000003e-67	higher in first
EGR2_MA0472.2	EGR2	3947	-0.30924	9.965219999999999e-132	8.90751e-131	higher in second
GLIS2_MA0736.1	GLIS2	5482	-0.28232	7.89094e-132	7.11581e-131	higher in second
GLIS3_MA0737.1	GLIS3	4422	-0.13153	1.38999e-94	5.24594e-94	higher in second
KLF16_MA0741.1	KLF16	15537	-0.24235	1.75809e-145	3.9811e-144	higher in second
E2F7_MA0758.1	E2F7	3069	-0.00056	0.413268	0.418193	not significant
HSF2_MA0770.1	HSF2	4432	0.0632	5.90146e-66	1.23482e-65	higher in first
HSF4_MA0771.1	HSF4	3705	0.06882	7.61012e-71	1.7232700000000002e-70	higher in first
MEF2D_MA0773.1	MEF2D	8574	0.02745	2.40608e-46	3.67035e-46	higher in first
MEIS2_MA0774.1	MEIS2	4958	-0.04182	3.77567e-48	5.85603e-48	higher in second
MYBL1_MA0776.1	MYBL1	725	0.04437	1.2087999999999999e-20	1.45426e-20	higher in first
MYBL2_MA0777.1	MYBL2	704	-0.00556	0.683028	0.687074	not significant
NFKB1_MA0105.4	NFKB1	5422	-0.10413	3.57681e-89	1.2313399999999999e-88	higher in second
PAX3_MA0780.1	PAX3	1503	-0.01346	7.00725e-09	7.69438e-09	higher in second
PKNOX2_MA0783.1	PKNOX2	5613	-0.07126	5.80306e-71	1.317e-70	higher in second
POU3F2_MA0787.1	POU3F2	6246	0.07025	6.25406e-78	1.79014e-77	higher in first
POU3F3_MA0788.1	POU3F3	6832	0.06486	7.56099e-74	1.83008e-73	higher in first
POU3F4_MA0789.1	POU3F4	4739	0.06215	1.0468900000000001e-70	2.3601200000000002e-70	higher in first
POU5F1B_MA0792.1	POU5F1B	4940	0.06362	3.75364e-67	8.03562e-67	higher in first
PROX1_MA0794.1	PROX1	2000	0.01932	5.45724e-20	6.54997e-20	higher in first
SMAD3_MA0795.1	SMAD3	1393	0.03957	2.76778e-28	3.50356e-28	higher in first
TGIF1_MA0796.1	TGIF1	5036	-0.08981	2.0978999999999998e-80	6.38138e-80	higher in second
TGIF2_MA0797.1	TGIF2	4865	-0.09013	3.9846e-76	1.02793e-75	higher in second
RUNX2_MA0511.2	RUNX2	3723	-0.16391	1.0296699999999999e-101	4.5225799999999995e-101	higher in second
MGA_MA0801.1	MGA	7693	-0.15956	5.7348199999999995e-109	2.7960699999999998e-108	higher in second
TBX15_MA0803.1	TBX15	7932	-0.19394	1.2749400000000001e-120	8.069360000000001e-120	higher in second
TBX1_MA0805.1	TBX1	5494	-0.20502	1.1035400000000001e-115	6.07843e-115	higher in second
TBX4_MA0806.1	TBX4	5448	-0.21464	1.41501e-120	8.90056e-120	higher in second
TBX5_MA0807.1	TBX5	7125	-0.22636	4.04815e-135	4.63491e-134	higher in second
TEAD3_MA0808.1	TEAD3	4554	0.05829	7.120969999999999e-58	1.24678e-57	higher in first
TFAP2B_MA0813.1	TFAP2B	6305	-0.19191	1.33065e-115	7.2510000000000005e-115	higher in second
TFAP2C_MA0815.1	TFAP2C	5774	-0.20762	5.2097100000000007e-126	3.6611699999999997e-125	higher in second
Ascl2_MA0816.1	Ascl2	8355	-0.03869	6.869620000000001e-55	1.1628100000000001e-54	higher in second
HES7_MA0822.1	HES7	2587	-0.09334	8.467e-60	1.51366e-59	higher in second
HEY1_MA0823.1	HEY1	2122	-0.10725	2.5498300000000003e-74	6.2912200000000004e-74	higher in second
OLIG1_MA0826.1	OLIG1	1762	0.10085	4.1871200000000003e-72	9.76355e-72	higher in first
OLIG3_MA0827.1	OLIG3	2251	0.08785	2.48873e-65	5.17554e-65	higher in first
CEBPG_MA0838.1	CEBPG	2251	0.87669	1.35076e-165	1.72054e-163	higher in first
FOXB1_MA0845.1	FOXB1	7481	0.01526	1.98228e-22	2.4133099999999998e-22	higher in first
FOXC1_MA0032.2	FOXC1	8333	0.00556	2.51529e-07	2.72668e-07	higher in first
FOXO4_MA0848.1	FOXO4	3065	-0.0448	3.4380300000000003e-44	5.01913e-44	higher in second
FOXO6_MA0849.1	FOXO6	3065	-0.0448	3.4380300000000003e-44	5.01913e-44	higher in second
FOXP3_MA0850.1	FOXP3	3065	-0.0448	3.4380300000000003e-44	5.01913e-44	higher in second
RXRB_MA0855.1	RXRB	5312	0.01847	4.5472599999999996e-21	5.49663e-21	higher in first
RXRG_MA0856.1	RXRG	5110	0.03351	3.02647e-44	4.50216e-44	higher in first
Rarb_MA0857.1	Rarb	8045	0.01572	2.3871400000000002e-26	2.9700800000000003e-26	higher in first
Rarb_MA0858.1	Rarb	4792	0.01816	1.34619e-19	1.60817e-19	higher in first
Rarg_MA0860.1	Rarg	7311	0.0281	4.6365899999999996e-45	6.989179999999999e-45	higher in first
TP63_MA0525.2	TP63	2360	0.06351	1.25929e-54	2.12102e-54	higher in first
TP53_MA0106.3	TP53	2556	0.02824	9.96203e-31	1.2849800000000001e-30	higher in first
GMEB2_MA0862.1	GMEB2	365	0.12879	1.49381e-43	2.15608e-43	higher in first
MTF1_MA0863.1	MTF1	3068	-0.08037	2.43244e-59	4.33331e-59	higher in second
E2F1_MA0024.3	E2F1	795	-0.27769	2.12289e-90	7.53736e-90	higher in second
SOX21_MA0866.1	SOX21	4343	0.03221	4.20335e-38	5.85139e-38	higher in first
Sox1_MA0870.1	Sox1	3452	0.07747	2.22955e-60	4.20725e-60	higher in first
TFAP2A_MA0872.1	TFAP2A	6134	-0.21818	7.081440000000001e-120	4.42699e-119	higher in second
ZNF24_MA1124.1	ZNF24	6395	0.06069	4.11475e-68	8.88334e-68	higher in first
ZSCAN4_MA1155.1	ZSCAN4	7540	-0.0543	1.3554e-75	3.46153e-75	higher in second
FOSBJUN_MA1127.1	FOSB::JUN	1921	0.19528	6.25165e-88	2.06832e-87	higher in first
FOSL1JUN_MA1129.1	FOSL1::JUN	1163	0.22467	3.74732e-94	1.39873e-93	higher in first
FOSBJUNB_MA1136.1	FOSB::JUNB	1350	0.2005	2.67283e-90	9.45698e-90	higher in first
IRF5_MA1420.1	IRF5	3312	0.0195	6.27816e-21	7.57992e-21	higher in first
