comparison	first	second	output_prefix	name	marker_group	total_tfbs	change	pvalue	qvalue	status
B_cell_Monocyte	B_cell	Monocyte	CEBPA_MA0102.5	CEBPA	Monocyte	5967	-0.50838	7.77937e-162	2.64239e-159	higher in second
B_cell_Monocyte	B_cell	Monocyte	CEBPB_MA0466.4	CEBPB	Monocyte	1476	-0.97077	1.02438e-156	1.1598300000000001e-154	higher in second
B_cell_Monocyte	B_cell	Monocyte	EBF1_MA0154.5	EBF1	B_cell	9720	0.12225	2.7022500000000003e-113	1.8732e-112	higher in first
B_cell_Monocyte	B_cell	Monocyte	PAX5_MA0014.4	PAX5	B_cell	2152	0.17059	2.5103999999999999e-88	1.05272e-87	higher in first
B_cell_Monocyte	B_cell	Monocyte	POU2F2_MA0507.3	POU2F2	B_cell	5468	0.11646	1.35182e-96	6.85327e-96	higher in first
B_cell_T_NK_cell	B_cell	T_NK_cell	BCL6_MA0463.3	BCL6	B_cell	4032	0.00694	2.4735e-06	2.80679e-06	higher in first
B_cell_T_NK_cell	B_cell	T_NK_cell	EBF1_MA0154.5	EBF1	B_cell	9720	0.08031	7.89166e-93	7.18e-92	higher in first
B_cell_T_NK_cell	B_cell	T_NK_cell	PAX5_MA0014.4	PAX5	B_cell	2152	0.0661	9.30298e-53	2.31778e-52	higher in first
B_cell_T_NK_cell	B_cell	T_NK_cell	Lef1_MA0768.3	Lef1	T_NK_cell	4389	-0.07328	3.97794e-67	1.50688e-66	higher in second
B_cell_T_NK_cell	B_cell	T_NK_cell	POU2F2_MA0507.3	POU2F2	B_cell	5468	0.21357	1.04659e-122	7.10986e-121	higher in first
B_cell_T_NK_cell	B_cell	T_NK_cell	RUNX3_MA0684.3	RUNX3	T_NK_cell	6619	-0.08696	4.44937e-92	3.9771099999999996e-91	higher in second
B_cell_T_NK_cell	B_cell	T_NK_cell	SPIB_MA0081.3	SPIB	B_cell	20048	0.301	3.1839e-163	1.6222000000000002e-160	higher in first
B_cell_T_NK_cell	B_cell	T_NK_cell	TCF7_MA0769.3	TCF7	T_NK_cell	2881	-0.10273	1.1098500000000001e-74	5.4372000000000005e-74	higher in second
B_cell_T_NK_cell	B_cell	T_NK_cell	ZBTB7B_MA0694.2	ZBTB7B	T_NK_cell	4580	-0.03636	1.4083099999999999e-39	2.5950599999999996e-39	higher in second
Monocyte_T_NK_cell	Monocyte	T_NK_cell	CEBPA_MA0102.5	CEBPA	Monocyte	5967	0.53943	3.40795e-161	2.89392e-159	higher in first
Monocyte_T_NK_cell	Monocyte	T_NK_cell	CEBPB_MA0466.4	CEBPB	Monocyte	1476	0.90302	1.05922e-158	7.7096e-157	higher in first
Monocyte_T_NK_cell	Monocyte	T_NK_cell	Gata3_MA0037.5	Gata3	T_NK_cell	4356	-0.0206	1.0689000000000001e-23	1.30914e-23	higher in second
Monocyte_T_NK_cell	Monocyte	T_NK_cell	Lef1_MA0768.3	Lef1	T_NK_cell	4389	-0.06622	3.4818900000000004e-63	6.956950000000001e-63	higher in second
Monocyte_T_NK_cell	Monocyte	T_NK_cell	RUNX3_MA0684.3	RUNX3	T_NK_cell	6619	-0.07098	1.48977e-73	3.55521e-73	higher in second
Monocyte_T_NK_cell	Monocyte	T_NK_cell	TCF7_MA0769.3	TCF7	T_NK_cell	2881	-0.10013	4.49067e-70	1.01015e-69	higher in second
Monocyte_T_NK_cell	Monocyte	T_NK_cell	ZBTB7B_MA0694.2	ZBTB7B	T_NK_cell	4580	-0.23999	1.39888e-117	8.09918e-117	higher in second
