tf	group	offset_bp	cutsite_cpm	n_sites	total_motif_hits	signal_column	site_coordinate	lineage
SPIB	B_cell	-250	0.00405412468970358	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-249	0.00405581814024119	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-248	0.003876572731827965	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-247	0.003941575247667778	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-246	0.0039398817963828305	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-245	0.00403458485431973	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-244	0.004042921852693665	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-243	0.00401400289564549	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-242	0.003932977718401183	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-241	0.003931675061415617	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-240	0.00395850976500128	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-239	0.00399224854560328	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-238	0.00400345138376534	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-237	0.004033412460429496	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-236	0.003999543416358496	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-235	0.0039245104613225236	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-234	0.004046569286779002	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-233	0.004155862086537725	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-232	0.004033933526885676	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-231	0.004036017775552772	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-230	0.004011658119542169	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-229	0.003997328901700135	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-228	0.00402220962510109	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-227	0.004108575690829589	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-226	0.004205493268562794	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-225	0.004206144596432796	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-224	0.00412212330908077	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-223	0.004145701370949856	119634	119634	cutsite_bigwig	motif_center	B_cell
