tf	lineage	expected_mean_protection	other_mean_protection	expected_contrast	B_cell_center_protection	CD4_T_center_protection	NK_T_cytotoxic_center_protection	CD14_Monocyte_center_protection	FCGR3A_Monocyte_center_protection	Dendritic_cell_center_protection	Mixed_myeloid_center_protection	n_sites	motif_prefixes	selected_for_figure
BACH2	B_cell	2.227656045293664e-05	-0.0002071770739498983	0.00022945363440283494	2.227656045293664e-05	6.91557442069249e-05	-0.00014808113330951192	-0.0005083680454015688	-0.00023869643770142528	-0.0002715027207496177	-0.00014556985074419082	5000	BACH2_MA1101.3,BACH2_MA1470.2	True
BATF	Myeloid	-0.0007871478301867947	-0.00037343756285352655	-0.0004137102673332682	-0.0002511873131690609	-0.0002528239169782121	-0.0006163014584133068	-0.0010331726415677733	-0.0007455126066783094	-0.0007098014766027303	-0.0006601045958983655	5000	BATF_MA1634.2	False
BHLHE41	B_cell	0.0022110686662353655	0.0026188656950299105	-0.000407797028794545	0.0022110686662353655	0.002091109975727252	0.0028621577909269426	0.0027512780523766905	0.003135506247942723	0.0024843476488541037	0.0023887944543517533	5000	BHLHE41_MA0636.1	False
CEBPA	Myeloid	0.0008906850856669028	0.00024515206657862385	0.0006455330190882789	0.0002543559352126948	0.00022965326354848183	0.000251447000974695	0.0012736728711358956	0.0011340504489495437	0.0003684841858495591	0.0007865328367326129	5000	CEBPA_MA0102.5	False
CEBPB	Myeloid	0.0007144760461531166	-3.348081824557062e-05	0.0007479568643986872	-6.8919565295483204e-06	-9.372323076421481e-05	1.7273255705125335e-07	0.0014494113443280802	0.0009920739154154403	-0.00020058056416284777	0.0006169994890317937	5000	CEBPB_MA0466.4	True
CEBPD	Myeloid	0.0009460135219269099	0.00032961286927878563	0.0006164006526481243	0.0003489667837482933	0.0002818842588438035	0.0003579875652442602	0.001319065608416606	0.001163684425735769	0.000452117149012897	0.0008491869045423676	5000	CEBPD_MA0836.3	False
CTCF	Control	-0.0029987347358350633	-0.0029987347358350633	0.0	-0.0032771903081862687	-0.0037235160986993513	-0.0031819953775134606	-0.0024546742342952087	-0.002519901391546461	-0.0029198899939908945	-0.0029139757466138025	5000	CTCF_MA0139.2,CTCF_MA1929.2,CTCF_MA1930.2	True
EBF1	B_cell	-0.0013331690793249831	-0.0009712249226558426	-0.00036194415666914055	-0.0013331690793249831	-0.0008230145614192439	-0.0009423231164013468	-0.0010824231816101888	-0.0010829567344742945	-0.0009980053593303924	-0.0008986265826995898	5000	EBF1_MA0154.5	False
EOMES	T_NK	-0.00028513123879175784	-0.00017030456761720942	-0.00011482667117454842	-0.0002317374907517446	-0.00023240563817480216	-0.00033785683940871353	-0.00011600608481563089	-0.00011964890010383456	-0.00018693397750570303	-0.0001971963849091341	5000	EOMES_MA0800.2	False
FOS	Myeloid	5.0132563043156024e-05	0.00027331896253286704	-0.000223186399489711	0.0003729793600030608	0.00033763475632008286	0.00010934277127545744	-4.716334936171436e-05	0.0001385547105857723	-2.9220813585443666e-05	0.0001383597045340098	5000	FOS_MA0476.2,FOS_MA1951.2	False
Gata3	T_NK	0.00011415647289014777	0.000155151474500956	-4.099500161080822e-05	0.00012284266700588275	0.00010595458126894945	0.0001223583645113461	0.0002543222116027265	7.221593723230435e-05	0.00014241855783175456	0.00018395799883211172	5000	Gata3_MA0037.5	False
IRF4	T_NK	0.00171365536188381	0.0018098115171850976	-9.615615530128769e-05	0.0018368956642594646	0.0016437726180982297	0.0017835381056693904	0.0016983038087747286	0.002114606961894016	0.001783604012049431	0.0016156471389478478	5000	IRF4_MA1419.2	False
JUNB	Myeloid	-3.538995932635358e-05	0.0001468687287253289	-0.00018225868805168247	0.00025091102633653943	0.0002201805045083009	-3.048534466885367e-05	-0.00017390456871495337	0.00011714178421035754	-0.00015063824089411515	6.584118809329666e-05	5000	JUNB_MA0490.3,JUNB_MA1140.3	False
Lef1	T_NK	0.000401631061497632	0.0005347267382150322	-0.00013309567671740017	0.00047625915663072676	0.00036839907182516837	0.00043486305117009574	0.0005770904685295187	0.0006628810693106456	0.000520541937378461	0.0004368610592258088	5000	Lef1_MA0768.3	False
MAF	Myeloid	-0.00010854623529030181	-0.00010993400956601166	1.3877742757098505e-06	-6.363598247596641e-05	-1.5647796799840847e-05	-0.0002505182494222277	-0.00013656954266248611	-5.8629492149027156e-05	-6.649839106977047e-05	-0.00017248751527992352	5000	MAF_MA1520.2	False
MEF2C	B_cell	0.001170757881653631	0.0012343210064692967	-6.35631248156656e-05	0.001170757881653631	0.0010685543539120264	0.0010061362674664185	0.0013956576591230652	0.0014651320277662189	0.0012582692236503133	0.0012121765068977372	5000	MEF2C_MA0497.2	False
PAX5	B_cell	-0.00044635640260427345	-0.0004640648154633664	1.7708412859092956e-05	-0.00044635640260427345	-0.0002725522625230167	-0.00038892620482080094	-0.0005316640641872293	-0.0005774547595502704	-0.0004376419771832155	-0.0005761496245156653	5000	PAX5_MA0014.4	False
POU2F2	B_cell	0.0006358893621477863	0.0006111643046007223	2.4725057547063975e-05	0.0006358893621477863	0.0005285116472841056	0.0004946281406152951	0.00068350432834607	0.0007584771909524296	0.0005567298510145742	0.0006451346693918591	5000	POU2F2_MA0507.3	False
REL	Myeloid	0.0008691500733671705	0.0010071085090668853	-0.0001379584356997148	0.0009255125496801517	0.000974019654168434	0.0011217933233520702	0.0008063674426530334	0.0009287690304312866	0.000793928731343374	0.0009475350890409879	5000	REL_MA0101.1	False
RORA	T_NK	0.0002503799302868913	0.0001409680587682335	0.00010941187151865782	0.0002799864241408629	0.0003603421100246571	0.00014041775054912553	6.354995786495002e-05	-0.00013972344912719273	0.00031329076045529095	0.00018773660050725629	5000	RORA_MA0071.1,RORA_MA0072.2	True
RUNX3	T_NK	0.00033764456704720553	0.00026973587794513175	6.790868910207378e-05	0.00032104198951811945	0.0003047852404858555	0.0003705038936085556	0.00020746391515699079	0.00034889201616698014	0.0002105158025524547	0.0002607656663311135	5000	RUNX3_MA0684.3	False
SPIB	B_cell	0.0005357720104925734	0.0004273635346135146	0.00010840847587905881	0.0005357720104925734	0.0004948573727000978	0.0005040350507850378	0.0003048854281973501	0.0004576228233304043	0.0003766018209200656	0.00042617871174813177	5000	SPIB_MA0081.3	False
Spi1	Myeloid	0.0005222317481175077	0.0006268307183269804	-0.00010459897020947267	0.0006848044054422494	0.0005841929415081733	0.0006114948080305181	0.0004333906184215094	0.0005858200350688529	0.0005743241980888197	0.0004953921408908487	5000	Spi1_MA0080.7	False
TBX21	T_NK	-0.0002958777820858599	-0.0001097870784334698	-0.00018609070365239007	-0.00021394630872680642	-0.0002069040204888507	-0.0003848515436828691	-5.3954030842461945e-05	-6.492220623028892e-06	-0.00010738108641207119	-0.00016716174556298056	5000	TBX21_MA0690.3	False
TCF7	T_NK	0.0004139230488456815	0.0005946393256748817	-0.00018071627682920022	0.0005620552193493056	0.0003530878512949362	0.00047475824639642674	0.0006002675978922801	0.0007209479796792171	0.0005904100219916693	0.0004995158094619361	5000	TCF7_MA0769.3	False
TCF7L2	T_NK	0.00047657400591342384	0.0005708505005109583	-9.42764945975345e-05	0.0005356343281587032	0.00046111324121571746	0.0004920347706111302	0.0005921632245683243	0.0006808123592343502	0.0005221516205461936	0.0005234909700472204	5000	TCF7L2_MA0523.2	False
