normalization	tfbs	sample	condition	depth_factor	n_sites	mean_profile	center_mean	flank_mean	baseline_mean	footprint_contrast
raw	test_data/annotated_tfbs/ATF7_Bcell_bound.bed	B cell rep1	B cell	0.700;offset=-1.500	80	-0.282185	-9.046423	1.735315	0.599983	10.781738
raw	test_data/annotated_tfbs/ATF7_Bcell_bound.bed	B cell rep2	B cell	0.900;offset=0.200	80	1.766895	-9.504047	4.361506	2.900604	13.865553
raw	test_data/annotated_tfbs/ATF7_Bcell_bound.bed	T cell rep1	T cell	1.250;offset=4.500	80	8.911891	-9.186766	14.490293	10.294162	23.677059
raw	test_data/annotated_tfbs/ATF7_Bcell_bound.bed	T cell rep2	T cell	1.450;offset=6.500	80	11.618314	-9.379479	18.088783	13.223639	27.468261
sample_quantile	test_data/annotated_tfbs/ATF7_Bcell_bound.bed	B cell rep1	B cell	0.700;offset=-1.500	80	1.785017	-3.403510	3.245397	2.215450	6.648907
sample_quantile	test_data/annotated_tfbs/ATF7_Bcell_bound.bed	B cell rep2	B cell	0.900;offset=0.200	80	3.746396	-20.151692	9.247821	6.150231	29.399514
sample_quantile	test_data/annotated_tfbs/ATF7_Bcell_bound.bed	T cell rep1	T cell	1.250;offset=4.500	80	1.832674	-24.582222	8.064715	4.376893	32.646937
sample_quantile	test_data/annotated_tfbs/ATF7_Bcell_bound.bed	T cell rep2	T cell	1.450;offset=6.500	80	4.287921	-20.746218	10.308932	6.674687	31.055150
raw_summary	test_data/annotated_tfbs/ATF7_Bcell_bound.bed	condition means	B cell vs T cell	NA	NA	NA	NA	NA	10.008607	12.323646
sample_quantile_summary	test_data/annotated_tfbs/ATF7_Bcell_bound.bed	condition means	B cell vs T cell	NA	NA	NA	NA	NA	1.342950	18.024211
